sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
C1=CC=2C=CC=CC2N1,Z57833933,117.148,117.148,2.132,-2.24,1,0,15.79,0,https://real.enamine.net/public-enum-files/Z57833933
CC1=NC=C(S1)C(=O)O,Z385373334,143.165,143.165,1.13,-0.56,1,3,50.19,1,https://real.enamine.net/public-enum-files/Z385373334
O=C(O)C=1C=CC=C(Cl)C1,Z104474062,156.566,156.566,2.696,-2.28,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z104474062
NC=1C=CC(=CC1)C(=O)O,Z57127446,137.136,137.136,0.978,-1.34,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z57127446
OCCOC=1C=CC=CC1,Z104473570,138.164,138.164,1.188,-1.26,1,2,29.46,3,https://real.enamine.net/public-enum-files/Z104473570
O=C(O)C=1C=CC(Cl)=CC1,Z104473324,156.566,156.566,2.696,-2.28,1,2,37.3,1,
NC=1C=NC=CC1C(=O)O,Z414314668,138.124,138.124,0.747,-0.199,2,4,76.21,1,https://real.enamine.net/public-enum-files/Z414314668
NC=1C=CC=C2NC=NC12,Z1259162108,133.151,133.151,1.013,-1.39,2,2,54.7,0,https://real.enamine.net/public-enum-files/Z1259162108
CC=1C=CC=2NC=CC2C1,Z979311300,131.175,131.175,2.631,-2.761,1,0,15.79,0,https://real.enamine.net/public-enum-files/Z979311300
O=C(O)C=1C=NC=C(O)C1,Z57124104,139.109,139.109,1.138,0.02,2,4,70.42,1,https://real.enamine.net/public-enum-files/Z57124104
FC=1C=CC=2NC=CC2C1,Z1160902020,135.139,135.139,2.443,-2.54,1,0,15.79,0,https://real.enamine.net/public-enum-files/Z1160902020
O=C(O)COC=1C=CC=CC1,Z57182011,152.148,152.148,1.35,-1.47,1,3,46.53,3,https://real.enamine.net/public-enum-files/Z57182011
O=C(O)CCC1CCCCC1,Z104479892,156.222,156.222,2.985,-2.8,1,2,37.3,3,https://real.enamine.net/public-enum-files/Z104479892
O=C1C=CC=2C=CC=CC2O1,Z57169486,146.143,146.143,1.412,-2.55,0,1,26.3,0,https://real.enamine.net/public-enum-files/Z57169486
